"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"d:\CS\syncUp-clean\frontend\client\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\CS\syncUp-clean\frontend\client\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\CS\syncUp-clean\frontend\client\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 0, 3, 13, 148
"d:\CS\syncUp-clean\frontend\client\src\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 136, 0, 0, 0, 0, 0, 3, 14, 153
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\layout.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 0, 2, 13, 198
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 201, 0, 0, 0, 0, 0, 7, 19, 227
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 295, 0, 0, 0, 0, 0, 12, 27, 334
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\doc\[docId]\page.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\doc\new\page.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 4, 22
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\members\page.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\page.tsx", "TypeScript JSX", 0, 0, 0, 322, 0, 0, 0, 0, 0, 10, 26, 358
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\projects\[projectid]\page.tsx", "TypeScript JSX", 0, 0, 0, 344, 0, 0, 0, 0, 0, 11, 33, 388
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\projects\[projectid]\tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\[workspaceId]\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 11, 119
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\createworkspace\page.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 6, 120
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 151, 0, 0, 0, 0, 0, 8, 24, 183
"d:\CS\syncUp-clean\frontend\client\src\app\(dashboard)\workspaces\page.tsx", "TypeScript JSX", 0, 0, 0, 144, 0, 0, 0, 0, 0, 3, 14, 161
"d:\CS\syncUp-clean\frontend\client\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 20, 213
"d:\CS\syncUp-clean\frontend\client\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"d:\CS\syncUp-clean\frontend\client\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\CS\syncUp-clean\frontend\client\src\app\require\page.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\CS\syncUp-clean\frontend\client\src\components\TiptapEditor.tsx", "TypeScript JSX", 0, 0, 0, 393, 0, 0, 0, 0, 0, 9, 31, 433
"d:\CS\syncUp-clean\frontend\client\src\components\ui\AuthGate.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\CS\syncUp-clean\frontend\client\src\components\ui\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"d:\CS\syncUp-clean\frontend\client\src\components\ui\DocumentPanel.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 0, 8, 21, 181
